ID	Year	Platform	Game	Sales.millions
main	1997	PC	Grand Theft Auto	0.333333333333333
main	1998	PS	Grand Theft Auto	0.333333333333333
main	1999	GBC	Grand Theft Auto	0.333333333333333
main	1999	PS	Grand Theft Auto II	0.5
main	1999	PC	Grand Theft Auto II	0.5
main	2000	DC	Grand Theft Auto II	0.5
main	2000	GBC	Grand Theft Auto II	0.5
main	2001	PS2	Grand Theft Auto III	4.83333333333333
main	2002	PC	Grand Theft Auto III	4.83333333333333
main	2003	XB	Grand Theft Auto III	4.83333333333333
main	2002	PS2	Grand Theft Auto: Vice City	5.83333333333333
main	2003	PC	Grand Theft Auto: Vice City	5.83333333333333
main	2003	XB	Grand Theft Auto: Vice City	5.83333333333333
main	2004	PS2	Grand Theft Auto: San Andreas	7.16666666666667
main	2005	PC	Grand Theft Auto: San Andreas	7.16666666666667
main	2005	XB	Grand Theft Auto: San Andreas	7.16666666666667
main	2005	PSP	Grand Theft Auto: Liberty City Stories	5.5
main	2006	PS2	Grand Theft Auto: Liberty City Stories	5.5
main	2006	PSP	Grand Theft Auto: Vice City Stories	3
main	2007	PS2	Grand Theft Auto: Vice City Stories	3
main	2008	PS3	Grand Theft Auto IV	8.33333333333333
main	2008	X360	Grand Theft Auto IV	8.33333333333333
main	2008	PC	Grand Theft Auto IV	8.33333333333333
main	2009	DS	Grand Theft Auto: Chinatown Wars	0.60
main	2009	PSP	Grand Theft Auto: Chinatown Wars	0.60
main	2009	PS3	Grand Theft Auto: Episodes From Liberty City	1
main	2010	X360	Grand Theft Auto: Episodes From Liberty City	1
main	2010	PC	Grand Theft Auto: Episodes From Liberty City	1
main	2013	PS3	Grand Theft Auto V	13
main	2013	X360	Grand Theft Auto V	13
main	2013	PS4	Grand Theft Auto V	13
main	2013	XOne	Grand Theft Auto V	13
main	2013	PC	Grand Theft Auto V	13
