ID	Year	Game	Platform	Sales.millions	Notes
main	1996	First generation		59.52	
main	1996	Pokemon Red Version	GB	12.552	Red/Green/Blue (GB) - 31.38 million[5]Yellow (GB) - 14.64 million[5]Red/Green/Blue/Yellow (VC) - 1.5 million[6]
main	1996	Pokemon Blue Version	GB	12.552	Red/Green/Blue (GB) - 31.38 million[5]Yellow (GB) - 14.64 million[5]Red/Green/Blue/Yellow (VC) - 1.5 million[6]
main	1996	Pokemon Green Version	GB	6.276	Red/Green/Blue (GB) - 31.38 million[5]Yellow (GB) - 14.64 million[5]Red/Green/Blue/Yellow (VC) - 1.5 million[6]
main	1996	Pokemon Yellow: Special Pikachu Edition	GB	14.64	Red/Green/Blue (GB) - 31.38 million[5]Yellow (GB) - 14.64 million[5]Red/Green/Blue/Yellow (VC) - 1.5 million[6]
main	2016	Pokemon Red/Green/Blue/Yellow	VC	1.5	
main	2004	Pokemon FireRed Version	GBA	6	[5]
main	2004	Pokemon LeafGreen Version	GBA	6	[5]
main	1999	Second generation		23.1	
main	1999	Pokemon Gold Version	GBC	11.55	[5]
main	1999	Pokemon Silver Version	GBC	11.55	
main	2000	Pokemon Crystal Version	GBC	6.39	[5]
main	2009	Pokemon HeartGold Version	DS	6.36	
main	2009	Pokemon SoulSilver Version	DS	6.36	[7]
main	2002	Third generation		36.28	
main	2002	Pokemon Ruby Version	GBA	8.11	[5]
main	2002	Pokemon Sapphire Version	GBA	8.11	[5]
main	2004	Pokemon Emerald Version	GBA	6.32	[5]
main	2014	Pokemon Omega Ruby Version	3DS	6.87	[2]
main	2014	Pokemon Alpha Sapphire Version	3DS	6.87	[2]
main	2006	Fourth generation		25.27	
main	2006	Pokemon Diamond Version	DS	8.835	[7]
main	2006	Pokemon Pearl Version	DS	8.835	
main	2008	Pokemon Platinum Version	DS	7.6	[5]
main	2010	Fifth generation		24.16	
main	2010	Pokemon Black Version	DS	7.82	
main	2010	Pokemon White Version	DS	7.82	[7]
main	2012	Pokemon Black 2 Version	DS	4.26	[5]
main	2012	Pokemon White 2 Version	DS	4.26	[5]
main	2013	Sixth generation		16.11	
main	2013	Pokemon X Version	3DS	8.055	[2]
main	2013	Pokemon Y Version	3DS	8.055	[2]
main	2016	Seventh generation		15.44	
main	2016	Pokemon Sun Version	3DS	7.72	[2]
main	2016	Pokemon Moon Version	3DS	7.72	[2]
main	1999	Console series		13.73	
main	1999	Pokemon Stadium	N64	5.46	[5]
main	2000	Pokemon Stadium 2	N64	2.54	[5]
main	2003	Pokemon Colosseum	GC	2.41	[5]
main	2005	Pokemon XD: Gale of Darkness	GC	1.37	[5]
main	2006	Pokemon Battle Revolution	Wii	1.95	[5]
main		Main series total		231.81	
spinoff	1999	Pinball		6.68	
spinoff	1999	Pokemon Pinball	GB	5.31	[5]
spinoff	2003	Pokemon Pinball: Ruby & Sapphire	GBA	1.37	[5]
spinoff	2005	Mystery Dungeon		14.76	
spinoff	2005	Pokemon Mystery Dungeon: Red Rescue Team	GBA	2.36	[5]
spinoff	2005	Pokemon Mystery Dungeon: Blue Rescue Team	DS	3.49	[5]
spinoff	2007	Pokemon Mystery Dungeon: Explorers of Time and Explorers of Darkness	DS	4.88	[5]
spinoff	2009	Pokemon Mystery Dungeon: Explorers of Sky	DS	1.49	[5]
spinoff	2013	Pokemon Mystery Dungeon: Gates to Infinity	3DS	1.32	[5]
spinoff	2015	Super Pokemon Mystery Dungeon	3DS	1.22	[8]
spinoff	2006	Ranger		6.81	
spinoff	2006	Pokemon Ranger	DS	2.93	[5]
spinoff	2008	Pokemon Ranger: Shadows of Almia	DS	2.35	[5]
spinoff	2010	Pokemon Ranger: Guardian Signs	DS	1.53	[5]
spinoff		Other		10.96	
spinoff	1998	Pokemon Trading Card Game	GB	3.7	[5]
spinoff	1999	Pokemon Snap	N64	3.63	[5]
spinoff	2010	PokePark Wii: Pikachu's Adventure	Wii	1.25	[5]
spinoff	2011	Pokemon Rumble Blast	3DS	1.38	[5]
spinoff	2016	Pokken Tournament	Wii U	1	[9]
