"Game"	"Platform"	"Score"	"Genre"
"Wolfenstein: The New Order"	"XOne"	7.8	"Shooter"
"Mario Kart 8"	"WiiU"	9	"Racing, Action"
"Sportsfriends"	"PS3"	8.7	"Action, Compilation"
"Sportsfriends"	"PS4"	8.7	"Action, Compilation"
"Sportsfriends"	"PC"	8.7	"Action, Compilation"
"Super TIME Force"	"XOne"	7.5	"Shooter"
"Super TIME Force"	"X360"	7.5	"Shooter"
"The Walking Dead: Season Two -- Episode 3: In Harm's Way"	"PC"	9	"Adventure"
"Borderlands 2"	"PSV"	5.4	"Shooter, RPG"
"Bound by Flame"	"PC"	7	"Action, RPG"
"Bound by Flame"	"PS4"	7	"Action, RPG"
"God of War Collection"	"PSV"	6.3	"Compilation"
"Outlast: Whistleblower"	"PC"	6.4	"Action, Adventure"
"Outlast: Whistleblower"	"PS4"	6.4	"Action, Adventure"
"Tesla Effect: A Tex Murphy Adventure"	"PC"	6.8	"Adventure"
"JoJo's Bizarre Adventure: All Star Battle"	"PS3"	7.4	"Fighting"
"The Amazing Spider-Man 2"	"iPhone"	4.5	"Action"
"Sir, You are Being Hunted"	"PC"	7.7	"Shooter"
"Republique -- Episode 2: Metamorphosis"	"iPhone"	7.5	"Adventure"
"The Amazing Spider-Man 2"	"PS4"	5.4	"Action"
"The Amazing Spider-Man 2"	"WiiU"	5.4	"Action"
"The Amazing Spider-Man 2"	"XOne"	5.4	"Action"
"The Amazing Spider-Man 2"	"PC"	5.4	"Action"
"The Amazing Spider-Man 2"	"PS3"	5.4	"Action"
"The Amazing Spider-Man 2"	"X360"	5.4	"Action"
"Starlight Inception"	"PSV"	3.8	"Action"
"Wargame: Red Dragon"	"PC"	7.6	"Strategy"
"Daylight"	"PC"	5.8	"Adventure"
"Daylight"	"PS4"	5.8	"Adventure"
"Child of Light"	"PS3"	9.3	"RPG"
"Child of Light"	"PS4"	9.3	"RPG"
"Child of Light"	"WiiU"	9.3	"RPG"
"Child of Light"	"XOne"	9.3	"RPG"
"Child of Light"	"PC"	9.3	"RPG"
